Block,Preview,Name,Link
S1-1,../../assets/config/scientific-images/thumbnails/S1-1-1/S1-1-1_thumbnail.png,S1-1-1.tif,/scientific-images/S1-1/S1-1-1
S1-1,../../assets/config/scientific-images/thumbnails/S1-1-2/S1-1-2_thumbnail.png,S1-1-2.tif,/scientific-images/S1-1/S1-1-2
S1-1,../../assets/config/scientific-images/thumbnails/S1-1-3/S1-1-3_thumbnail.png,S1-1-3.tif,/scientific-images/S1-1/S1-1-3
S1-7,../../assets/config/scientific-images/thumbnails/S1-7-1/S1-7-1_thumbnail.png,S1-7-1.tif,/scientific-images/S1-7/S1-7-1
S1-7,../../assets/config/scientific-images/thumbnails/S1-7-2/S1-7-2_thumbnail.png,S1-7-2.tif,/scientific-images/S1-7/S1-7-2
S1-14,../../assets/config/scientific-images/thumbnails/S1-14-1/S1-14-1_thumbnail.png,S1-14-1.tif,/scientific-images/S1-14/S1-14-1
